id;material_name;type;update_by;update_name;create_by;create_name;update_date;create_date;sort;del_flag
1;Ergonomic District;ShortMessageService;XML 栋;吉林省;redefine;河北省 multi-byte Rustic;2023-05-15T05:32:06;2023-05-14T15:10:25;62070;5370
2;indexing Pizza Garden;ShortMessageService;disintermediate Corporate;e-services array;generation Buckinghamshire Pa'anga;withdrawal 江苏省;2023-05-15T05:35:46;2023-05-14T19:22:40;76770;41660
3;national 侬;ShortMessageService;Marketing;Metal Chair Avon;Account state;Personal connecting hardware;2023-05-15T07:34:38;2023-05-14T12:28:26;84242;71577
4;Chair;MultimediaMessagingService;complexity Concrete;Fish gold Branding;Fresh Coordinator Chair;override payment hacking;2023-05-14T14:56:15;2023-05-15T01:35:27;36679;85183
5;Future;MultimediaMessagingService;metrics parsing;Table Generic;TCP Stand-alone;payment 北京市;2023-05-14T18:38:31;2023-05-15T04:43:44;66630;15578
6;quantifying 天津市 Gloves;ShortMessageService;feed Sausages Frozen;enterprise;1080p Investment;Solutions Awesome parsing;2023-05-14T14:24:51;2023-05-15T00:00:54;20788;78180
7;Wooden markets;MultimediaMessagingService;Salad Fresh;redefine Data coherent;路;extend;2023-05-14T16:56:36;2023-05-14T17:44:30;76465;51984
8;deliver;ShortMessageService;Practical withdrawal;Ghana paradigms Granite;Implemented Steel;Cotton Awesome architecture;2023-05-14T21:20:25;2023-05-14T21:34:53;95640;72135
9;panel 海南省;MultimediaMessagingService;solutions;Mouse;Pakistan;Public-key Account;2023-05-14T09:45:35;2023-05-15T05:43:03;49306;77745
10;侬 Agent driver;ShortMessageService;wireless Steel;reboot bandwidth;hack 河南省;Applications Assistant;2023-05-15T00:42:34;2023-05-15T05:45:46;93688;52438
