id;material_id;content;picture_url;picture_size;update_by;update_name;create_by;create_name;update_date;create_date;sequence;del_flag
1;applications;贵州省;transmitting indexing;481;primary copying;Managed 侬 human-resource;zero Hat;海南省 leverage Borders;2023-05-14T09:31:13;2023-05-15T07:08:54;58453;47319
2;copying;Architect Direct local;silver Orchestrator Investment;89978;Tugrik;Incredible;Generic bifurcated;extranet;2023-05-14T22:09:19;2023-05-14T16:43:28;69923;86636
3;maroon HDD;action-items;Metal;54859;digital;optimize 中心;Chips Manager 江苏省;Practical Berkshire;2023-05-14T23:09:43;2023-05-15T01:20:17;38754;31310
4;alarm;generating;synthesizing Cotton harness;29925;matrix discrete cyan;Account Horizontal;supply-chains deposit XSS;Organic invoice;2023-05-14T16:46:53;2023-05-15T01:59:25;31290;7015
5;Frozen;Legacy Senior Savings;Security Lead Refined;92717;payment Bike;generate protocol;Comoros Pound Soft;Frozen Gorgeous;2023-05-15T04:07:55;2023-05-15T02:14:41;53492;68779
6;incentivize;orange Gorgeous card;Mobility Handcrafted;13535;deposit Chips tertiary;Lesotho Loan functionalities;Product auxiliary;motivating;2023-05-15T02:30:01;2023-05-15T03:19:39;8262;24418
7;B2C firewall;channels client-server;Small;42268;Fresh Pizza digital;Buckinghamshire bypassing;Mobility Plastic;Developer Manager invoice;2023-05-15T06:01:23;2023-05-15T07:40:48;59757;13500
8;payment;leverage;Officer;20962;transmitter Central plum;Optional Adaptive;transmitting navigate;virtual;2023-05-14T18:31:32;2023-05-14T10:18:52;48718;20651
9;Steel up;Associate;Pierre;63063;blue 路;Program;ADP Avon;Avon Global overriding;2023-05-14T11:13:04;2023-05-14T13:24:51;44602;3968
10;SMTP COM;mindshare Movies;Cross-platform;7439;Legacy;parse Silver;Gloves THX;neural adapter granular;2023-05-14T22:13:00;2023-05-14T14:03:51;82879;74953
